"STATISTIC","Statistic Label","TLIST(Q1)","Quarter","C02196V02652","State","UNIT","VALUE"
"NAQ03C01","GVA at Constant Basic Prices","20173","2017Q3","-","State","Euro Million","81851"
"NAQ03C01","GVA at Constant Basic Prices","20174","2017Q4","-","State","Euro Million","86679"
"NAQ03C01","GVA at Constant Basic Prices","20181","2018Q1","-","State","Euro Million","81927"
"NAQ03C01","GVA at Constant Basic Prices","20182","2018Q2","-","State","Euro Million","84833"
"NAQ03C01","GVA at Constant Basic Prices","20183","2018Q3","-","State","Euro Million","86899"
"NAQ03C01","GVA at Constant Basic Prices","20184","2018Q4","-","State","Euro Million","89266"
"NAQ03C01","GVA at Constant Basic Prices","20191","2019Q1","-","State","Euro Million","84831"
"NAQ03C01","GVA at Constant Basic Prices","20192","2019Q2","-","State","Euro Million","88122"
"NAQ03C01","GVA at Constant Basic Prices","20193","2019Q3","-","State","Euro Million","92300"
"NAQ03C01","GVA at Constant Basic Prices","20194","2019Q4","-","State","Euro Million","94462"
"NAQ03C01","GVA at Constant Basic Prices","20201","2020Q1","-","State","Euro Million","94713"
"NAQ03C01","GVA at Constant Basic Prices","20202","2020Q2","-","State","Euro Million","91311"
"NAQ03C01","GVA at Constant Basic Prices","20203","2020Q3","-","State","Euro Million","104358"
"NAQ03C01","GVA at Constant Basic Prices","20204","2020Q4","-","State","Euro Million","100369"
"NAQ03C01","GVA at Constant Basic Prices","20211","2021Q1","-","State","Euro Million","106760"
"NAQ03C01","GVA at Constant Basic Prices","20212","2021Q2","-","State","Euro Million","112086"
"NAQ03C01","GVA at Constant Basic Prices","20213","2021Q3","-","State","Euro Million","118610"
"NAQ03C01","GVA at Constant Basic Prices","20214","2021Q4","-","State","Euro Million","115621"
"NAQ03C01","GVA at Constant Basic Prices","20221","2022Q1","-","State","Euro Million","115065"
"NAQ03C01","GVA at Constant Basic Prices","20222","2022Q2","-","State","Euro Million","121954"
"NAQ03C01","GVA at Constant Basic Prices","20223","2022Q3","-","State","Euro Million","130149"
"NAQ03C01","GVA at Constant Basic Prices","20224","2022Q4","-","State","Euro Million","127215"
"NAQ03C01","GVA at Constant Basic Prices","20231","2023Q1","-","State","Euro Million","115219"
"NAQ03C01","GVA at Constant Basic Prices","20232","2023Q2","-","State","Euro Million","117145"
"NAQ03C01","GVA at Constant Basic Prices","20233","2023Q3","-","State","Euro Million","118976"
"NAQ03C01","GVA at Constant Basic Prices","20234","2023Q4","-","State","Euro Million","114736"
"NAQ03C01","GVA at Constant Basic Prices","20241","2024Q1","-","State","Euro Million","108784"
"NAQ03C01","GVA at Constant Basic Prices","20242","2024Q2","-","State","Euro Million","112998"
"NAQ03C01","GVA at Constant Basic Prices","20243","2024Q3","-","State","Euro Million","122263"
"NAQ03C02","Taxes on Products","19951","1995Q1","-","State","Euro Million","2659"
"NAQ03C02","Taxes on Products","19952","1995Q2","-","State","Euro Million","2849"
"NAQ03C02","Taxes on Products","19953","1995Q3","-","State","Euro Million","2941"
"NAQ03C02","Taxes on Products","19954","1995Q4","-","State","Euro Million","3058"
"NAQ03C02","Taxes on Products","19961","1996Q1","-","State","Euro Million","2958"
"NAQ03C02","Taxes on Products","19962","1996Q2","-","State","Euro Million","3150"
"NAQ03C02","Taxes on Products","19963","1996Q3","-","State","Euro Million","3246"
"NAQ03C02","Taxes on Products","19964","1996Q4","-","State","Euro Million","3382"
"NAQ03C02","Taxes on Products","19971","1997Q1","-","State","Euro Million","3369"
"NAQ03C02","Taxes on Products","19972","1997Q2","-","State","Euro Million","3587"
"NAQ03C02","Taxes on Products","19973","1997Q3","-","State","Euro Million","3697"
"NAQ03C02","Taxes on Products","19974","1997Q4","-","State","Euro Million","3812"
"NAQ03C02","Taxes on Products","19981","1998Q1","-","State","Euro Million","3770"
"NAQ03C02","Taxes on Products","19982","1998Q2","-","State","Euro Million","3984"
"NAQ03C02","Taxes on Products","19983","1998Q3","-","State","Euro Million","4093"
"NAQ03C02","Taxes on Products","19984","1998Q4","-","State","Euro Million","4252"
"NAQ03C02","Taxes on Products","19991","1999Q1","-","State","Euro Million","4252"
"NAQ03C02","Taxes on Products","19992","1999Q2","-","State","Euro Million","4498"
"NAQ03C02","Taxes on Products","19993","1999Q3","-","State","Euro Million","4618"
"NAQ03C02","Taxes on Products","19994","1999Q4","-","State","Euro Million","4756"
"NAQ03C02","Taxes on Products","20001","2000Q1","-","State","Euro Million","5380"
"NAQ03C02","Taxes on Products","20002","2000Q2","-","State","Euro Million","4519"
"NAQ03C02","Taxes on Products","20003","2000Q3","-","State","Euro Million","5470"
"NAQ03C02","Taxes on Products","20004","2000Q4","-","State","Euro Million","4610"
"NAQ03C02","Taxes on Products","20011","2001Q1","-","State","Euro Million","5256"
"NAQ03C02","Taxes on Products","20012","2001Q2","-","State","Euro Million","4171"
"NAQ03C02","Taxes on Products","20013","2001Q3","-","State","Euro Million","5229"
"NAQ03C02","Taxes on Products","20014","2001Q4","-","State","Euro Million","4779"
"NAQ03C02","Taxes on Products","20021","2002Q1","-","State","Euro Million","5352"
"NAQ03C02","Taxes on Products","20022","2002Q2","-","State","Euro Million","4335"
"NAQ03C02","Taxes on Products","20023","2002Q3","-","State","Euro Million","5654"
"NAQ03C02","Taxes on Products","20024","2002Q4","-","State","Euro Million","5121"
"NAQ03C02","Taxes on Products","20031","2003Q1","-","State","Euro Million","5610"
"NAQ03C02","Taxes on Products","20032","2003Q2","-","State","Euro Million","4402"
"NAQ03C02","Taxes on Products","20033","2003Q3","-","State","Euro Million","6049"
"NAQ03C02","Taxes on Products","20034","2003Q4","-","State","Euro Million","5492"
"NAQ03C02","Taxes on Products","20041","2004Q1","-","State","Euro Million","6227"
"NAQ03C02","Taxes on Products","20042","2004Q2","-","State","Euro Million","4999"
"NAQ03C02","Taxes on Products","20043","2004Q3","-","State","Euro Million","6545"
"NAQ03C02","Taxes on Products","20044","2004Q4","-","State","Euro Million","5824"
"NAQ03C02","Taxes on Products","20051","2005Q1","-","State","Euro Million","6813"
"NAQ03C02","Taxes on Products","20052","2005Q2","-","State","Euro Million","5492"
"NAQ03C02","Taxes on Products","20053","2005Q3","-","State","Euro Million","7462"
"NAQ03C02","Taxes on Products","20054","2005Q4","-","State","Euro Million","6121"
"NAQ03C02","Taxes on Products","20061","2006Q1","-","State","Euro Million","7701"
"NAQ03C02","Taxes on Products","20062","2006Q2","-","State","Euro Million","5865"
"NAQ03C02","Taxes on Products","20063","2006Q3","-","State","Euro Million","8056"
"NAQ03C02","Taxes on Products","20064","2006Q4","-","State","Euro Million","6649"
"NAQ03C02","Taxes on Products","20071","2007Q1","-","State","Euro Million","8059"
"NAQ03C02","Taxes on Products","20072","2007Q2","-","State","Euro Million","6064"
"NAQ03C02","Taxes on Products","20073","2007Q3","-","State","Euro Million","7482"
"NAQ03C02","Taxes on Products","20074","2007Q4","-","State","Euro Million","6092"
"NAQ03C02","Taxes on Products","20081","2008Q1","-","State","Euro Million","6893"
"NAQ03C02","Taxes on Products","20082","2008Q2","-","State","Euro Million","4864"
"NAQ03C02","Taxes on Products","20083","2008Q3","-","State","Euro Million","6425"
"NAQ03C02","Taxes on Products","20084","2008Q4","-","State","Euro Million","4639"
